reference,Count
40817_wcaJ,5
39875_ugd,1
36463_rpiB,7
17228_gcvT,6
33683_purD,2
9444_dgoK,1
16061_galE,8
12832_fecC,4
27733_mgsA,2
18082_glmM,119
1396_ansA,36
12175_fadJ,3
16543_garK,2
16185_galE,2
21275_hisH,133
1321_ansA,2
14075_fepD,1
39039_trpD,3
10528_dsdA,1
4393_astC,6
20241_hisA,32
41897_ydfG,3
25563_leuB,1
11198_exbD,2
12829_fecC,5
12615_fecC,11
28244_msrA,16
30228_ompN,10
25312_ldtC,5
7548_cusC,1
16675_garR,1
126_aceB,1
4538_astD,84
4496_astD,1
1193_ansA,4
1367_ansA,2
12905_fecE,2
6544_cobT,1
8167_dacA,3
14197_fepG,1
21742_hisJ,7
35526_putA,77
18477_glpK,1
24586_kduD,8
36737_rutD,4
11254_exbD,6
2859_arnB,80
15961_galE,2
29411_norW,1
16947_gatB,5
9368_dgoK,3
10422_dsdA,2
10386_dsdA,1
21123_hisF,1
15019_fumC,2
6625_cobT,3
6629_cobT,4
24304_kdsC,1
32710_preT,2
28119_mqo,81
37824_tauC,3
5507_btuD,3
7896_cysJ,5
2712_arnB,2
34704_purN,2
25867_lldD,5
21605_hisI,2
13683_fepD,6
3645_aroK,1
3262_aroB,3
31000_oppF,3
35015_purT,1
11666_fadA,3
36820_rutD,3
4038_aspA,8
27056_manA,1
3155_aroB,1
35948_pyrE,1
35814_pyrE,29
33323_psuK,11
12423_fbaB,8
15706_galE,1
24604_kduD,2
38009_tauC,33
797_alr,1
4304_astC,6
12237_fadJ,1
20986_hisD,1
7789_cysI,31
34869_purN,1
5429_btuB,1
17777_glgB,60
34361_purH,3
14896_frdC,3
9899_dsbC,90
27424_metC,56
20908_hisD,1
2417_argF,51
23826_kbl,5
38077_tdcG,1
18713_glsA,3
16235_galE,1
10019_dsbG,2
2_accA,2
20247_hisA,36
17669_glcB,1
36635_rutD,3
4184_astB,1
22846_hyfH,2
5880_cirA,2
12789_fecC,2
10067_dsbG,5
10546_dsdA,6
2897_arnE,7
38488_thiH,11
1370_ansA,2
19567_gsiC,2
24028_kdgK,2
12437_fecA,6
4939_betB,4
40209_ugd,1
30830_oppD,3
18606_glpQ,1
3494_aroH,11
59_aceB,1
34871_purN,1
21315_hisH,3
6102_citF,1
